admin_code,population
PH012801000,1792
PH012802000,32215
PH012803000,31616
PH012804000,14672
PH012805000,55201
PH012806000,9777
PH012807000,1567
PH012808000,12184
PH012809000,38562
PH012810000,2947
PH012811000,19438
PH012812000,111125
PH012813000,17777
PH012814000,9506
PH012815000,23770
PH012816000,24866
PH012817000,28980
PH012818000,21497
PH012819000,17300
PH012820000,36736
PH012821000,25212
PH012822000,24121
PH012823000,32220
PH012901000,6695
PH012902000,7748
PH012903000,35731
PH012904000,12224
PH012905000,37501
PH012906000,60623
PH012907000,19861
PH012908000,17211
PH012909000,10748
PH012910000,4875
PH012911000,4647
PH012912000,30792
PH012913000,5259
PH012914000,44006
PH012915000,8573
PH012916000,11288
PH012917000,7407
PH012918000,8349
PH012919000,7787
PH012920000,26411
PH012921000,12758
PH012922000,15340
PH012923000,13945
PH012924000,39868
PH012925000,25402
PH012926000,30321
PH012927000,18759
PH012928000,27975
PH012929000,2737
PH012930000,25640
PH012931000,4585
PH012932000,11446
PH012933000,39277
PH012934000,53879
PH013301000,63692
PH013302000,47458
PH013303000,42078
PH013304000,13456
PH013305000,39188
PH013306000,35947
PH013307000,75032
PH013308000,8067
PH013309000,22039
PH013310000,35802
PH013311000,54221
PH013312000,19690
PH013313000,55458
PH013314000,121812
PH013315000,18172
PH013316000,37188
PH013317000,39092
PH013318000,12476
PH013319000,17056
PH013320000,28729
PH015501000,28052
PH015502000,41463
PH015503000,89708
PH015504000,43402
PH015505000,39504
PH015506000,57355
PH015507000,31106
PH015508000,50306
PH015509000,32959
PH015510000,32307
PH015511000,118205
PH015512000,54555
PH015513000,83052
PH015514000,82084
PH015515000,67348
PH015516000,21637
PH015517000,95154
PH015518000,171271
PH015519000,29110
PH015520000,24584
PH015521000,23201
PH015522000,103278
PH015523000,24765
PH015524000,130275
PH015525000,69497
PH015526000,106331
PH015527000,73241
PH015528000,37059
PH015529000,24299
PH015530000,69555
PH015531000,63081
PH015532000,188571
PH015533000,83025
PH015534000,40848
PH015535000,52939
PH015536000,35574
PH015537000,32945
PH015538000,82012
PH015539000,33038
PH015540000,15022
PH015541000,47518
PH015542000,34149
PH015543000,43149
PH015544000,73252
PH015545000,50170
PH015546000,132940
PH015547000,62333
PH015548000,31497
PH020901000,8579
PH020902000,2867
PH020903000,1327
PH020904000,1555
PH020905000,1621
PH020906000,1297
PH021501000,32497
PH021502000,38883
PH021503000,33571
PH021504000,47860
PH021505000,65649
PH021506000,82782
PH021507000,34299
PH021508000,30175
PH021509000,16702
PH021510000,24923
PH021511000,29921
PH021512000,35834
PH021513000,56661
PH021514000,38892
PH021515000,27862
PH021516000,44506
PH021517000,39135
PH021518000,23596
PH021519000,48584
PH021520000,23597
PH021521000,17994
PH021522000,24541
PH021523000,32906
PH021524000,4154
PH021525000,19038
PH021526000,27219
PH021527000,82502
PH021528000,61535
PH021529000,153502
PH023101000,71504
PH023102000,43061
PH023103000,35017
PH023104000,29624
PH023105000,23784
PH023106000,50174
PH023107000,39413
PH023108000,129523
PH023109000,42926
PH023110000,5005
PH023111000,5687
PH023112000,79094
PH023113000,29904
PH023114000,145568
PH023115000,45666
PH023116000,19326
PH023117000,4253
PH023118000,26614
PH023119000,30459
PH023120000,31902
PH023121000,17260
PH023122000,25860
PH023123000,24501
PH023124000,52707
PH023125000,26998
PH023126000,61773
PH023127000,22880
PH023128000,20200
PH023129000,24861
PH023130000,31896
PH023131000,55370
PH023132000,64505
PH023133000,25384
PH023134000,25382
PH023135000,134830
PH023136000,23005
PH023137000,67650
PH025001000,15250
PH025002000,37225
PH025003000,35501
PH025004000,53433
PH025005000,61512
PH025006000,18122
PH025007000,27514
PH025008000,19111
PH025009000,37705
PH025010000,23714
PH025011000,21056
PH025012000,16180
PH025013000,59517
PH025014000,18507
PH025015000,7940
PH025701000,27787
PH025702000,30582
PH025703000,52569
PH025704000,38499
PH025705000,16070
PH025706000,23484
PH030801000,39880
PH030802000,26936
PH030803000,96061
PH030804000,106371
PH030805000,65862
PH030806000,68071
PH030807000,127536
PH030808000,29901
PH030809000,66909
PH030810000,56002
PH030811000,41823
PH030812000,35298
PH031401000,59237
PH031402000,73929
PH031403000,149954
PH031404000,119675
PH031405000,76565
PH031406000,67039
PH031407000,108757
PH031408000,99730
PH031409000,129807
PH031410000,252074
PH031411000,221965
PH031412000,209083
PH031413000,111348
PH031414000,59197
PH031415000,89075
PH031416000,53294
PH031417000,107805
PH031418000,97323
PH031419000,104471
PH031420000,574089
PH031421000,153882
PH031422000,94655
PH031423000,256454
PH031424000,22663
PH034901000,63543
PH034902000,64173
PH034903000,302231
PH034904000,79007
PH034905000,41131
PH034906000,65039
PH034907000,35383
PH034908000,110303
PH034909000,41656
PH034910000,47865
PH034911000,118655
PH034912000,73184
PH034913000,35656
PH034914000,28254
PH034915000,39701
PH034916000,43788
PH034917000,81483
PH034918000,14954
PH034919000,41041
PH034920000,29925
PH034921000,29882
PH034922000,40592
PH034923000,64087
PH034924000,77836
PH034925000,51612
PH034926000,139738
PH034927000,65299
PH034928000,69467
PH034929000,57943
PH034930000,124829
PH034931000,23817
PH034932000,49387
PH035401000,411634
PH035402000,107965
PH035403000,133492
PH035404000,39460
PH035405000,111586
PH035406000,125163
PH035407000,117430
PH035408000,160838
PH035409000,250799
PH035410000,75850
PH035411000,113147
PH035412000,57063
PH035413000,154624
PH035414000,47713
PH035415000,124381
PH035416000,306659
PH035417000,54106
PH035418000,53198
PH035419000,55178
PH035420000,40979
PH035421000,40475
PH035422000,28004
PH036901000,11528
PH036902000,69466
PH036903000,83248
PH036904000,140202
PH036905000,154188
PH036906000,87531
PH036907000,64017
PH036908000,32232
PH036909000,57787
PH036910000,92606
PH036911000,23712
PH036912000,21350
PH036913000,12657
PH036914000,25504
PH036915000,47538
PH036916000,342493
PH036917000,63715
PH036918000,36253
PH037101000,57707
PH037102000,25163
PH037103000,27174
PH037104000,64841
PH037105000,50506
PH037106000,47719
PH037107000,233040
PH037108000,34947
PH037109000,34661
PH037110000,23183
PH037111000,33665
PH037112000,28360
PH037113000,58151
PH037114000,104771
PH037701000,39562
PH037702000,24313
PH037703000,15835
PH037704000,11322
PH037705000,25482
PH037706000,29736
PH037707000,40734
PH037708000,27352
PH041001000,38059
PH041002000,25300
PH041003000,90699
PH041004000,22661
PH041005000,329874
PH041006000,91297
PH041007000,81859
PH041008000,56449
PH041009000,32783
PH041010000,52970
PH041011000,39444
PH041012000,93157
PH041013000,52660
PH041014000,332386
PH041015000,41504
PH041016000,46211
PH041017000,56270
PH041018000,29187
PH041019000,134113
PH041020000,48302
PH041021000,116764
PH041022000,76971
PH041023000,108585
PH041024000,33149
PH041025000,22623
PH041026000,65424
PH041027000,21127
PH041028000,179844
PH041029000,56327
PH041030000,45301
PH041031000,173366
PH041032000,38007
PH041033000,17919
PH041034000,43743
PH042101000,51839
PH042102000,37649
PH042103000,600609
PH042104000,97557
PH042105000,102806
PH042106000,659019
PH042107000,22220
PH042108000,314303
PH042109000,403785
PH042110000,65599
PH042111000,83466
PH042112000,22727
PH042113000,37720
PH042114000,31529
PH042115000,111454
PH042116000,45846
PH042117000,110706
PH042118000,248085
PH042119000,71181
PH042120000,226188
PH042121000,23157
PH042122000,155713
PH042123000,155143
PH043401000,47859
PH043402000,62143
PH043403000,333028
PH043404000,308745
PH043405000,454486
PH043406000,80453
PH043407000,21702
PH043408000,16587
PH043409000,23269
PH043410000,36582
PH043411000,112008
PH043412000,19720
PH043413000,30652
PH043414000,20530
PH043415000,25266
